Tempo (s);Tensão (V);Corrente (A)
0,0000;18,89;48,09
0,0002;18,70;46,91
0,0004;18,70;48,07
0,0006;18,70;46,89
0,0008;18,70;48,05
0,0010;18,70;48,07
0,0012;18,70;46,89
0,0014;18,70;46,89
0,0016;18,50;46,87
0,0018;18,50;46,89
0,0020;18,50;46,87
0,0022;18,50;46,89
0,0024;18,50;46,89
0,0026;18,31;48,07
0,0028;18,11;46,89
0,0030;18,31;48,07
0,0032;18,11;48,05
0,0034;18,11;48,07
0,0036;18,11;48,07
0,0038;18,11;50,41
0,0040;23,40;180,35
0,0042;27,70;303,18
0,0044;30,05;384,69
0,0046;31,03;416,58
0,0048;31,81;430,72
0,0050;32,01;436,66
0,0052;32,40;439,00
0,0054;32,40;441,38
0,0056;31,22;416,56
0,0058;27,11;279,56
0,0060;23,98;181,53
0,0062;22,41;128,38
0,0064;21,24;95,31
0,0066;20,46;75,23
0,0068;20,26;63,42
0,0070;19,88;57,52
0,0072;19,87;52,81
0,0074;19,87;50,43
0,0076;20,07;49,27
0,0078;20,26;49,25
0,0080;19,48;49,25
0,0082;19,09;48,07
0,0084;18,89;46,89
0,0086;18,70;46,89
0,0088;18,70;46,89
0,0090;18,70;46,89
0,0092;18,51;46,87
0,0094;18,51;46,89
0,0096;18,51;46,89
0,0098;18,50;46,89
0,0100;18,50;46,89
0,0102;18,31;46,89
0,0104;18,31;48,07
0,0106;18,31;46,89
0,0108;18,31;46,89
0,0110;18,31;48,07
0,0112;18,31;46,89
0,0114;18,11;46,89
0,0116;18,31;48,05
0,0118;18,12;46,89
0,0120;18,31;46,89
0,0122;17,92;46,89
0,0124;17,92;46,89
0,0126;18,11;46,89
0,0128;18,11;50,43
0,0130;23,39;180,35
0,0132;27,50;303,18
0,0134;30,24;378,79
0,0136;31,22;409,48
0,0138;31,81;422,49
0,0140;31,81;429,55
0,0142;32,00;431,92
0,0144;32,20;433,12
0,0146;30,83;408,29
0,0148;26,72;271,31
0,0150;23,98;178,00
0,0152;22,22;126,02
0,0154;21,05;94,13
0,0156;20,26;74,05
0,0158;19,88;62,24
0,0160;19,68;56,34
0,0162;19,68;52,79
0,0164;19,48;50,43
0,0166;19,48;49,25
0,0168;19,48;48,07
0,0170;19,68;48,09
0,0172;19,87;48,05
0,0174;19,87;48,05
0,0176;19,48;46,91
0,0178;19,29;48,07
0,0180;18,89;48,07
0,0182;18,70;48,05
0,0184;18,89;46,87
0,0186;18,70;48,07
0,0188;18,90;46,89
0,0190;18,70;46,89
0,0192;18,70;45,69
0,0194;18,50;46,89
0,0196;18,50;46,89
0,0198;18,50;48,07
0,0200;18,50;46,91
0,0202;18,31;48,07
0,0204;18,31;46,89
0,0206;18,31;48,07
0,0208;18,31;46,89
0,0210;18,51;46,89
0,0212;18,11;48,07
0,0214;18,11;46,89
0,0216;18,11;46,89
0,0218;18,11;50,43
0,0220;23,40;180,35
0,0222;27,70;304,36
0,0224;30,24;382,29
0,0226;31,22;413,00
0,0228;31,42;427,19
0,0230;31,81;433,10
0,0232;31,81;436,64
0,0234;32,00;437,82
0,0236;31,02;411,84
0,0238;26,72;276,01
0,0240;23,98;180,37
0,0242;22,22;127,20
0,0244;21,05;94,13
0,0246;20,46;75,23
0,0248;20,07;63,40
0,0250;19,87;57,52
0,0252;19,87;52,79
0,0254;19,68;50,43
0,0256;20,26;49,25
0,0258;19,87;49,23
0,0260;19,09;49,25
0,0262;18,89;46,91
0,0264;18,89;46,89
0,0266;18,50;46,87
0,0268;18,51;48,09
0,0270;18,30;46,89
0,0272;18,31;46,87
0,0274;18,50;48,09
0,0276;18,31;48,07
0,0278;18,31;46,91
0,0280;18,31;48,07
0,0282;18,11;48,07
0,0284;18,12;48,07
0,0286;18,11;48,07
0,0288;17,92;48,07
0,0290;17,92;48,07
0,0292;17,92;46,89
0,0294;17,91;48,07
0,0296;17,92;48,07
0,0298;17,92;46,89
0,0300;17,72;46,89
0,0302;17,92;46,89
0,0304;17,92;46,87
0,0306;17,92;46,89
0,0308;17,72;46,89
0,0310;20,07;98,86
0,0312;25,35;246,49
0,0314;29,46;353,97
0,0316;31,22;403,57
0,0318;31,81;426,03
0,0320;31,81;435,48
0,0322;32,20;440,18
0,0324;32,20;441,36
0,0326;32,20;442,55
0,0328;28,48;339,79
0,0330;25,35;224,05
0,0332;23,20;150,82
0,0334;21,83;109,48
0,0336;21,05;83,50
0,0338;20,46;68,15
0,0340;20,46;59,88
0,0342;20,26;53,96
0,0344;20,66;51,61
0,0346;19,87;50,41
0,0348;19,48;49,25
0,0350;19,48;48,07
0,0352;19,09;48,07
0,0354;19,09;48,07
0,0356;18,90;48,09
0,0358;18,89;48,09
0,0360;18,70;48,07
0,0362;18,70;46,89
0,0364;18,50;48,05
0,0366;18,70;48,07
0,0368;18,51;46,89
0,0370;18,70;46,89
0,0372;18,51;46,89
0,0374;18,50;46,89
0,0376;18,50;46,89
0,0378;18,51;48,07
0,0380;18,50;46,91
0,0382;18,31;46,87
0,0384;18,50;48,09
0,0386;18,31;48,07
0,0388;18,31;46,87
0,0390;18,50;48,07
0,0392;18,31;46,89
0,0394;18,30;48,07
0,0396;18,31;48,07
0,0398;18,11;48,07
0,0400;19,29;68,17
0,0402;24,57;215,78
0,0404;29,07;330,33
0,0406;30,83;394,12
0,0408;31,61;420,11
0,0410;32,00;431,92
0,0412;32,00;436,62
0,0414;32,20;440,18
0,0416;32,40;440,20
0,0418;29,66;375,22
0,0420;25,94;248,85
0,0422;23,59;164,99
0,0424;22,22;117,75
0,0426;21,05;89,41
0,0428;20,66;71,69
0,0430;18,50;68,15
0,0432;18,11;33,90
0,0434;27,50;43,34
0,0436;28,68;57,52
0,0438;23,20;57,50
0,0440;20,46;48,07
0,0442;19,87;48,09
0,0444;19,29;48,07
0,0446;18,89;48,09
0,0448;18,70;48,09
0,0450;18,70;48,07
0,0452;18,70;48,07
0,0454;18,70;48,07
0,0456;18,50;48,07
0,0458;18,50;48,07
0,0460;18,31;48,07
0,0462;18,11;48,07
0,0464;18,31;48,07
0,0466;18,31;46,89
0,0468;18,31;46,89
0,0470;18,31;48,07
0,0472;18,11;48,07
0,0474;17,92;46,89
0,0476;18,11;46,89
0,0478;18,11;46,89
0,0480;18,11;46,89
0,0482;18,11;48,05
0,0484;18,11;46,89
0,0486;18,11;48,07
0,0488;18,11;46,89
0,0490;19,09;66,97
0,0492;24,77;219,32
0,0494;28,09;330,34
0,0496;29,85;389,42
0,0498;30,83;413,02
0,0500;31,22;426,01
0,0502;31,22;430,75
0,0504;31,42;433,10
0,0506;31,61;434,30
0,0508;29,07;368,14
0,0510;25,55;241,76
0,0512;23,40;161,45
0,0514;22,03;115,39
0,0516;21,44;87,03
0,0518;20,85;70,51
0,0520;20,26;62,24
0,0522;19,87;56,36
0,0524;19,87;52,77
0,0526;19,48;50,43
0,0528;19,09;49,25
0,0530;18,89;48,07
0,0532;18,89;48,07
0,0534;18,89;48,07
0,0536;18,89;48,09
0,0538;18,50;48,07
0,0540;18,50;48,07
0,0542;18,50;48,07
0,0544;18,70;46,89
0,0546;18,70;46,89
0,0548;18,51;46,89
0,0550;18,50;46,89
0,0552;18,50;48,07
0,0554;18,50;48,07
